word,level,status,mastery,last_seen,scene
boot,A1,new,0,,
border,B1,new,0,,
bored,A1,new,0,,
boring,A1,new,0,,
born,A1,new,0,,
borrow,A2,new,0,,
boss,A2,new,0,,
bother,B1,new,0,,
bottle,A1,new,0,,
bowl,A2,new,0,,
box,A1,new,0,,
boy,A1,new,0,,
boyfriend,A1,new,0,,
brain,A2,new,0,,
branch,B1,new,0,,
brave,B1,new,0,,
bread,A1,new,0,,
breakfast,A1,new,0,,
breast,B2,new,0,,
breath,B1,new,0,,
breathe,B1,new,0,,
breathing,B1,new,0,,
bride,B1,new,0,,
bridge,A2,new,0,,
brief,B2,new,0,,
bright,A2,new,0,,
brilliant,A2,new,0,,
bring,A1,new,0,,
broad,B2,new,0,,
broken,A2,new,0,,
brother,A1,new,0,,
bubble,B1,new,0,,
budget,B2,new,0,,
build,A1,new,0,,
building,A1,new,0,,
bullet,B2,new,0,,
bunch,B2,new,0,,
burn,A2,new,0,,
bury,B1,new,0,,
bus,A1,new,0,,
bush,B2,new,0,,
business,A1,new,0,,
businessman,A2,new,0,,
busy,A1,new,0,,
but,A1,new,0,,
butter,A1,new,0,,
button,A2,new,0,,
buy,A1,new,0,,
by,A1,new,0,,
bye,A1,new,0,,
cable,B2,new,0,,
cafe,A1,new,0,,
cake,A1,new,0,,
calculate,B2,new,0,,
camera,A1,new,0,,
camping,A2,new,0,,
campus,B1,new,0,,
cancel,B2,new,0,,
cancer,B2,new,0,,
candidate,B1,new,0,,
cannot,A1,new,0,,
cap,B1,new,0,,
capable,B2,new,0,,
capacity,B2,new,0,,
captain,B1,new,0,,
car,A1,new,0,,
card,A1,new,0,,
career,A1,new,0,,
careful,A2,new,0,,
carefully,A2,new,0,,
careless,B1,new,0,,
carpet,A2,new,0,,
carrot,A1,new,0,,
carry,A1,new,0,,
cartoon,A2,new,0,,
case,A2,new,0,,
cash,A2,new,0,,
castle,A2,new,0,,
cat,A1,new,0,,
catch,A2,new,0,,
category,B1,new,0,,
cd,A1,new,0,,
ceiling,B1,new,0,,
celebrate,A2,new,0,,
celebration,B1,new,0,,
celebrity,A2,new,0,,
cell,B2,new,0,,
cent,A1,new,0,,
central,B1,new,0,,
centre,A1,new,0,,
century,A1,new,0,,
ceremony,B1,new,0,,
certain,A2,new,0,,
certainly,A2,new,0,,
chain,B1,new,0,,
chair,A1,new,0,,
chairman,B2,new,0,,
challenge,B1,new,0,,
champion,B1,new,0,,
chance,A2,new,0,,
channel,B1,new,0,,
chapter,B1,new,0,,
character,A2,new,0,,
charity,A2,new,0,,
chart,A1,new,0,,
cheap,A1,new,0,,
check,A1,new,0,,
cheerful,B1,new,0,,
cheese,A1,new,0,,
chef,A2,new,0,,
chemistry,A2,new,0,,
chest,B1,new,0,,
chicken,A1,new,0,,
child,A1,new,0,,
childhood,B1,new,0,,
chip,A2,new,0,,
chocolate,A1,new,0,,
choice,A2,new,0,,
choose,A1,new,0,,
church,A2,new,0,,
cigarette,A2,new,0,,
cinema,A1,new,0,,
circumstance,B2,new,0,,
cite,B2,new,0,,
citizen,B2,new,0,,
city,A1,new,0,,
civil,B2,new,0,,
class,A1,new,0,,
classical,A2,new,0,,
classroom,A1,new,0,,
clause,B1,new,0,,
clear,A2,new,0,,
clearly,A2,new,0,,
clever,A2,new,0,,
client,B1,new,0,,
climate,A2,new,0,,
climb,A1,new,0,,
clock,A1,new,0,,
closed,A2,new,0,,
closely,B2,new,0,,
cloth,B1,new,0,,
clothes,A1,new,0,,
clothing,A2,new,0,,
cloud,A2,new,0,,
club,A1,new,0,,
clue,B1,new,0,,
coach,A2,new,0,,
coal,B1,new,0,,
coast,A2,new,0,,
coat,A1,new,0,,
code,A2,new,0,,
coffee,A1,new,0,,
coin,B1,new,0,,
colleague,A2,new,0,,
collect,A2,new,0,,
collection,B1,new,0,,
college,A1,new,0,,
colour,A1,new,0,,
coloured,B1,new,0,,
column,A2,new,0,,
combination,B2,new,0,,
combine,B1,new,0,,
come,A1,new,0,,
comedy,A2,new,0,,
comfortable,A2,new,0,,
comment,A2,new,0,,
commit,B1,new,0,,
commitment,B2,new,0,,
committee,B2,new,0,,
commonly,B2,new,0,,
communicate,A2,new,0,,
communication,B1,new,0,,
community,A2,new,0,,
company,A1,new,0,,
compare,A1,new,0,,
comparison,B1,new,0,,
compete,A2,new,0,,
competition,A2,new,0,,
competitive,B1,new,0,,
competitor,B1,new,0,,
complain,A2,new,0,,
complaint,B1,new,0,,
completely,A2,new,0,,
complex,B1,new,0,,
complicated,B2,new,0,,
component,B2,new,0,,
computer,A1,new,0,,
concentrate,B1,new,0,,
concentration,B2,new,0,,
concept,B2,new,0,,
concerned,B2,new,0,,
concert,A1,new,0,,
conclude,B1,new,0,,
conclusion,B1,new,0,,
condition,A2,new,0,,
conference,A2,new,0,,
confidence,B2,new,0,,
confident,B1,new,0,,
confirm,B1,new,0,,
confuse,B1,new,0,,
confused,B1,new,0,,
confusing,B2,new,0,,
connect,A2,new,0,,
connected,A2,new,0,,
connection,B1,new,0,,
conscious,B2,new,0,,
consequence,B1,new,0,,
consider,A2,new,0,,
consideration,B2,new,0,,
consist,B1,new,0,,
consistent,B2,new,0,,
constant,B2,new,0,,
constantly,B2,new,0,,
construct,B2,new,0,,
construction,B2,new,0,,
consume,B1,new,0,,
consumer,B1,new,0,,
contain,A2,new,0,,
container,B1,new,0,,
contemporary,B2,new,0,,
context,A2,new,0,,
continent,A2,new,0,,
continue,A2,new,0,,
continuous,B1,new,0,,
contribute,B2,new,0,,
contribution,B2,new,0,,
convenient,B1,new,0,,
conversation,A1,new,0,,
convert,B2,new,0,,
convince,B1,new,0,,
convinced,B2,new,0,,
cook,A1,new,0,,
cooker,A2,new,0,,
cooking,A1,new,0,,
cool,A1,new,0,,
corner,A2,new,0,,
corporate,B2,new,0,,
correctly,A2,new,0,,
costume,B1,new,0,,
cottage,B1,new,0,,
cotton,B1,new,0,,
could modal,A1,new,0,,
council,B2,new,0,,
count,A2,new,0,,
country,A1,new,0,,
countryside,B1,new,0,,
county,B2,new,0,,
couple,A2,new,0,,
courage,B2,new,0,,
course,A1,new,0,,
court,B1,new,0,,
cousin,A1,new,0,,
cover,A2,new,0,,
covered,B1,new,0,,
cow,A1,new,0,,
crazy,A2,new,0,,
cream,A1,new,0,,
create,A1,new,0,,
creation,B2,new,0,,
creative,A2,new,0,,
creature,B2,new,0,,
credit,A2,new,0,,
crew,B2,new,0,,
crime,A2,new,0,,
criminal,A2,new,0,,
crisis,B2,new,0,,
criterion,B2,new,0,,
critic,B2,new,0,,
critical,B2,new,0,,
criticism,B2,new,0,,
criticize,B2,new,0,,
crop,B2,new,0,,
crowd,A2,new,0,,
crowded,A2,new,0,,
crucial,B2,new,0,,
cruel,B1,new,0,,
cry,A2,new,0,,
cultural,B1,new,0,,
culture,A1,new,0,,
cup,A1,new,0,,
cupboard,A2,new,0,,
curly,A2,new,0,,
currency,B1,new,0,,
current,B1,new,0,,
currently,B1,new,0,,
curtain,B1,new,0,,
curved,B2,new,0,,
custom,B1,new,0,,
customer,A1,new,0,,
cut,A1,new,0,,
dad,A1,new,0,,
daily,A2,new,0,,
dancer,A1,new,0,,
dancing,A1,new,0,,
danger,A2,new,0,,
dangerous,A1,new,0,,
dark,A1,new,0,,
data,A2,new,0,,
date,A1,new,0,,
daughter,A1,new,0,,
day,A1,new,0,,
dead,A2,new,0,,
deal,A2,new,0,,
dear,A1,new,0,,
death,A2,new,0,,
debt,B2,new,0,,
decade,B1,new,0,,
december,A1,new,0,,
decent,B2,new,0,,
decide,A1,new,0,,
decision,A2,new,0,,
declare,B2,new,0,,
decorate,B1,new,0,,
decoration,B2,new,0,,
deep,A2,new,0,,
deeply,B2,new,0,,
defence,B2,new,0,,
defend,B2,new,0,,
define,B1,new,0,,
definite,B1,new,0,,
definitely,A2,new,0,,
definition,B1,new,0,,
degree,A2,new,0,,
deliberate,B2,new,0,,
deliberately,B2,new,0,,
delicious,A1,new,0,,
delighted,B2,new,0,,
deliver,B1,new,0,,
delivery,B2,new,0,,
demonstrate,B2,new,0,,
dentist,A2,new,0,,
deny,B2,new,0,,
department,A2,new,0,,
departure,B1,new,0,,
depend,A2,new,0,,
depressed,B2,new,0,,
depressing,B2,new,0,,
depth,B2,new,0,,
describe,A1,new,0,,
description,A1,new,0,,
desert,A2,new,0,,
deserve,B2,new,0,,
designer,A2,new,0,,
desk,A1,new,0,,
desperate,B2,new,0,,
despite,B1,new,0,,
destination,B1,new,0,,
destroy,A2,new,0,,
detail,A1,new,0,,
detailed,B2,new,0,,
detect,B2,new,0,,
detective,A2,new,0,,
determine,B1,new,0,,
determined,B1,new,0,,
develop,A2,new,0,,
development,B1,new,0,,
device,A2,new,0,,
diagram,B1,new,0,,
dialogue,A1,new,0,,
diamond,B1,new,0,,
diary,A2,new,0,,
dictionary,A1,new,0,,
die,A1,new,0,,
diet,A1,new,0,,
difference,A1,new,0,,
different,A1,new,0,,
differently,A2,new,0,,
difficult,A1,new,0,,
difficulty,B1,new,0,,
dig,B2,new,0,,
digital,A2,new,0,,
dinner,A1,new,0,,
direct,A2,new,0,,
direction,A2,new,0,,
directly,B1,new,0,,
director,A2,new,0,,
dirt,B1,new,0,,
dirty,A1,new,0,,
disadvantage,B1,new,0,,
disagree,A2,new,0,,
disappear,A2,new,0,,
disappointed,B1,new,0,,
disappointing,B1,new,0,,
disaster,A2,new,0,,
disc,B2,new,0,,
discipline,B2,new,0,,
discount,B1,new,0,,
discover,A2,new,0,,
discovery,A2,new,0,,
discuss,A1,new,0,,
discussion,A2,new,0,,
disease,A2,new,0,,
dish,A1,new,0,,
dishonest,B2,new,0,,
dismiss,B2,new,0,,
distance,A2,new,0,,
distribute,B2,new,0,,
distribution,B2,new,0,,
district,B2,new,0,,
divide,B1,new,0,,
division,B2,new,0,,
divorced,A2,new,0,,
doctor,A1,new,0,,
document,A2,new,0,,
documentary,B1,new,0,,
dog,A1,new,0,,
dollar,A1,new,0,,
domestic,B2,new,0,,
dominate,B2,new,0,,
donate,B1,new,0,,
door,A1,new,0,,
downstairs,A1,new,0,,
downwards,B2,new,0,,
drag,B2,new,0,,
drama,A2,new,0,,
dramatic,B2,new,0,,
draw,A1,new,0,,
drawing,A2,new,0,,
dressed,B1,new,0,,
drive,A1,new,0,,
driver,A1,new,0,,
driving,A2,new,0,,
drop,A2,new,0,,
drug,A2,new,0,,
drum,B1,new,0,,
drunk,B1,new,0,,
due,B1,new,0,,
during,A1,new,0,,
dust,B1,new,0,,
duty,B1,new,0,,
dvd,A1,new,0,,
ear,A1,new,0,,
earn,A2,new,0,,
earth,A2,new,0,,
earthquake,B1,new,0,,
easily,A2,new,0,,
eastern,B1,new,0,,
easy,A1,new,0,,
eat,A1,new,0,,
economic,B1,new,0,,
economy,B1,new,0,,
edge,B1,new,0,,
edit,B2,new,0,,
edition,B2,new,0,,
editor,B1,new,0,,
educate,B1,new,0,,
educated,B1,new,0,,
education,A2,new,0,,
educational,B1,new,0,,
effect,A2,new,0,,
effective,B1,new,0,,
effectively,B1,new,0,,
efficient,B2,new,0,,
effort,B1,new,0,,
egg,A1,new,0,,
eight number,A1,new,0,,
eighteen number,A1,new,0,,
eighty number,A1,new,0,,
elderly,B2,new,0,,
elect,B2,new,0,,
election,B1,new,0,,
electric,A2,new,0,,
electrical,A2,new,0,,
electricity,A2,new,0,,
electronic,A2,new,0,,
element,B1,new,0,,
elephant,A1,new,0,,
eleven number,A1,new,0,,
else,A1,new,0,,
elsewhere,B2,new,0,,
embarrassed,B1,new,0,,
embarrassing,B1,new,0,,
emerge,B2,new,0,,
emergency,B1,new,0,,
emotion,B1,new,0,,
emotional,B2,new,0,,
emphasis,B2,new,0,,
emphasize,B2,new,0,,
employ,A2,new,0,,
employee,A2,new,0,,
employer,A2,new,0,,
employment,B1,new,0,,
empty,A2,new,0,,
enable,B2,new,0,,
encourage,B1,new,0,,
ending,A2,new,0,,
enemy,B1,new,0,,
energy,A2,new,0,,
engage,B2,new,0,,
engaged,B1,new,0,,
engine,A2,new,0,,
engineer,A2,new,0,,
engineering,B1,new,0,,
enhance,B2,new,0,,
enjoy,A1,new,0,,
enormous,A2,new,0,,
enquiry,B2,new,0,,
ensure,B2,new,0,,
enter,A2,new,0,,
entertain,B1,new,0,,
entertainment,B1,new,0,,
enthusiasm,B2,new,0,,
enthusiastic,B2,new,0,,
entire,B2,new,0,,
entirely,B2,new,0,,
entrance,B1,new,0,,
entry,B1,new,0,,
environment,A2,new,0,,
environmental,B1,new,0,,
episode,B1,new,0,,
equally,B1,new,0,,
equipment,A2,new,0,,
error,A2,new,0,,
especially,A2,new,0,,
essay,A2,new,0,,
essential,B1,new,0,,
establish,B2,new,0,,
estate,B2,new,0,,
ethical,B2,new,0,,
euro,A1,new,0,,
evaluate,B2,new,0,,
even,A1,new,0,,
evening,A1,new,0,,
event,A1,new,0,,
